nume_boala,simptome
Acneea la adulti,"Comedoane (puncte albe si/sau puncte negre) prezente la nivelul fetei,
               gatului, spatelui si al pieptului, Noduli moi, sub piele (in special in partea inferioara a fetei, la
               nivelul maxilarului si a barbiei la femei), Pustule inflamate, Eruptii acneice mai agresive, Nodul dureros (la nivelul inferior al fetei, in acneea hormonala)"
Acneea vulgară,"inflamarea unității pilosebacee, eritem, papule, pustule, comedoane (închise sau deschise), leziuni localizate la nivelul feței, decolteului, gâtului și pe spate, sensibilitate locală, leziuni dureroase (uneori), Grad 1: prezența comedoanelor (închise sau deschise), Grad 2: eritem și papule (leziuni inflamate), Grad 3: prezența pustulelor, Grad 4: formarea unor noduli și chisturi (formă severă)"
Acondroplazie,"Piticism, Statura mica cu brate si picioare scurte disproportionate, Cap mare cu boselare frontala, Torace colabat, Greutate crescuta, Elemente faciale caracteristice, Miscarile motorii grosiere intirziate, Controlul capului intirziat, Sezutul independent intirziat, Vorbitul si problemele de limbaj (cauzate de limba protruzionata, se
               rezolva spontan), Largirea craniului, Control slab al capului, Insuficienta respiratorie, Apnee, Cianoza, Cvadripareza, Durere de spate, Sciatica, Diestezii, Parestezii, Parapareza, Incontinenta, Claudicatie neurologica (oboseala sau crampe musculare in picioare,
               induse de mers sau repaus), Sindromul cozii de cal, Cifoza toracolombara (inainte de mers), Lordoza interscapulara (inainte de mers), Lordoza lombara exagerata (dupa mers), Rotatia anterioara a pelvisului (dupa mers), Contracturi in flexie a soldului (dupa mers), Abdomen proeminent (dupa mers), Fese proeminente (dupa mers), Afectare rizomelica a membrelor superioare (segmente proximale mai
               implicate decit cele distale), Umeri mari (datorita dezvoltarii normale a claviculei si a
               musculaturii), Brate scurte cu formare de mase musculare si aparenta musculatura
               dezvoltata scapulara, Pierderea extensiei totale a cotului, Afectare rizomelica a membrelor inferioare, Contracturi in flexie a coapselor, Laxitate ligamentara, Rotatie externa cu genu recurvatum (inainte de mers), Tibie arcuita, Genu varum, Pierderea auzului, Incalecare si malocluzie dentara (prin hipoplazie maxilara), Obstructia cailor respiratorii superioare, Perete toracic mic, Pectus excavatus, Capacitate vitala redusa, Sforait, Adormit cu gura deschisa si gitul in hiperextensie, Hipotonia in copilarie, Initierea tardiva a mersului biped, Inteligenta normala cu deficit minor vizual-spatial, Oase calvarine mari in contrast cu baza craniului si oasele fetei mici, Megalencefalie, Bose frontale, Hipoplazia fetei mijlocii, Statura mica disproportionata (inaltimea medie la adult barbat este 131
               cm si la femeie 124 cm), Inaltime normala a trunchiului care pare lung, Cusca toracica mica, Scurtare rizomelica a membrelor superioare cu falduri de piele, Bradidactilie, Configuratia miinii in trident, Gibus toracolombar in copilarie, Hiperlordoza compensatorie dupa initierea mersului, Hiperextensibilitate a articulatiilor (mai ales a genunchilor), Extensia limitata a cotului, Genu varum la ambele picioare"
Acrocianoza,"Colorație albăstruie (cianoză) persistentă a pielii la extremități
               (mâini, picioare, degete), Colorație albăstruie (cianoză) a nasului, urechilor, buzelor sau
               mamelonului (în unele cazuri), Hiperhidroză (transpirație excesivă) în zonele afectate, Senzație de rece la nivelul extremităților afectate, De obicei nedureroasă (în forma primară), Modificări de culoare asimetrice (în forma secundară), Durere (în forma secundară), Distrucții tisulare / ulcerații / gangrenă (în forma secundară sau în
               afecțiunea de bază)"
Acrodermatita enteropatica,"dermatita periorificiala si acrala, alopecie (scalp, sprancene, gene), diaree, pete si placi eritematoase, uscate, eczematoase, cruste, veziculobule, leziuni erozive, pustule, leziuni distribuite periorificial si acral (fata, scalp, maini,
               picioare, zona anogenitala), distrofia unghiilor, modificari comportamentale, constipatie, anorexie, paronichie, fotofobie, modificari neurologice, deficite ale suprafetei oculare, conjunctivale si pleoapelor, blefarospasm, conjunctivita cronica, blefarita, keratopatie punctata, paloare epidermica (la examen histologic), edem intracelular (la examen histologic)"
Acrofobia - frica de înălțime,"dificultăți de respirație, accelerarea bătăilor inimii, durere toracică sau senzație de apăsare, tremur sau agitație, senzație de amețeală sau leșin, crampe în stomac, bufeuri, transpirație, senzație de anxietate copleșitoare sau de panică, nevoia intensă de a scăpa, frica de a pierde controlul asupra situației, sentimentul de neputință în fața fricii, gânduri de suicid (în timpul atacurilor de panică extreme)"
Acromegalia și gigantismul,"Creșterea în dimensiuni a extremităților (mâini, picioare), Îngroșarea mâinilor și a picioarelor, Creșterea numărului la pantofi, Nepotrivirea inelelor pe degete, Maxilarele, nasul și fruntea devin mai proeminente, Prognatism (proeminența anterioară a maxilarelor), Hipertrofia oaselor zigomatice, Buzele se îngroașă, Trăsăturile faciale devin aspre, Limba crește în dimensiuni (macroglosie), Dinții sunt separați de spații mai mari, Excrescențe pe piele, Voce adâncă și răgușită, Obstrucția căilor aeriene superioare, Sforăit, Organomegalie (ficat, rinichi, splină, cord), Creșterea în înălțime excesivă (în gigantism), Creșterea în lungime a membrelor (în gigantism), Hiperstaturalitate (în gigantism), Transpirație excesivă, Slăbiciune musculară, Surditate (în gigantism), Întârzierea pubertății (în gigantism), Neregularitatea perioadelor menstruale la fete (în gigantism), Ten seboreic, Pilozitate excesivă, Metabolizarea inadecvată a glucidelor, Hipertensiune arterială, Hiperfosfatemie, Hipercalciurie, Urolitiază, Senzații de furnicătură sau arsură (compresie nervoasă), Cefalee (compresie adenom), Tulburări de vedere (compresie adenom), Tulburări ale ciclului menstrual (compresie/invazie adenom), Galactoree la femei (compresie/invazie adenom), Disfuncții erectile la bărbat (compresie/invazie adenom), Dezvoltarea tardivă a organelor reproductive (compresie/invazie adenom)"
Acromia,"Hipopigmentare (cantitate redusă de pigment), Lipsa completă a pigmentului pielii, Pete depigmentate care apar pe corp și se extind (asociat cu Vitiligo), Albirea pielii în zonele expuse la soare (asociat cu Vitiligo), Discolorații pe porțiuni extinse de piele, Absența pigmentului din păr, piele și ochi (asociat cu Albinism), Culoare neobișnuit de deschisă a părului, pielii și ochilor (asociat cu
               Albinism), Albirea sau grizonarea timpurie a părului, genelor și sprâncenelor
               (asociat cu Vitiligo), Decolorarea membranelor mucoase ale gurii și nasului (asociat cu
               Vitiligo), Pierderea sau modificarea culorii retinei (asociat cu Vitiligo), Strabism (asociat cu Albinism), Fotofobie (sensibilitate la lumină) (asociat cu Albinism), Nistagmus (mișcări involuntare ale ochilor) (asociat cu Albinism), Vedere neclară (asociat cu Albinism), Astigmatism (asociat cu Albinism)"
Maskne - Acneea provocată de purtarea măștii,"Debutul acneei în decurs de 6 săptămâni de la începerea purtării măștii, Exacerbarea acneei preexistente la nivelul zonei acoperite de mască, Apariția leziunilor la nivelul zonei O (bărbie, perinazal, perioral), Apariția leziunilor în zona obrajilor (mai rar), Pori înfundați, Leziuni acneice, Creșterea volumului porilor, Roșeață a pielii, Iritații ale pielii, Poate agrava: Rozacee, Dermatită de contact iritativă, Dermatită
               atopică, Foliculită, Urticarie, Dermatită seboreică, Dermatită periorală"
Actinomicoza,"Tumefiere a tesutului moale (oro-cervico-facial), Abces (oro-cervico-facial, abdominal, renal, perinefretic, cerebral,
               tubo-ovarian), Masa lezionala (oro-cervico-facial, toracica, abdominala, pelvina), Infectie recurenta (gat si cap), Otita, Sinuzita, Canaliculita, Febra, Durere regionala, Leucocitoza (cresterea numarului de leucocite), Durere toracica, Scadere ponderala, Tuse productiva (cu expectoratie), Aspect de pneumonita (pe radiografia toracica), Cavitati (pe radiografia toracica), Adenopatie hilara (pe radiografia toracica), Pahipleurita (ingrosarea foitelor pleurale), Pleurezie (acumularea de lichid pleural), Empiem (acumularea de puroi in cavitatea pleurala), Leziuni endobronsice (rare), Formatiune pseudotumorala abdominala (fixata la structurile subiacente), Leziune infiltrativa, cu contur neregulat (imagistica abdominala), Traiecte fistuloase (catre peretele abdominal, regiunea perianala,
               vezica urinara, intestin, uter, tegument), Simptomatologie abdominala recurenta, Plaga sau fistula care nu se vindeca, Leziuni hepatice sub forma de abcese unice sau multiple, Pielonefrita, Obstructie ureterala, Dureri abdominale (in boala pelvina), Hemoragii (in boala pelvina), Secretii vaginale cu aspect anormal, Endometrita, Aspect de „pelvis inghetat” (in boala pelvina), Crestere inelara a leziunii cerebrale (imagistica), Perete gros, neregulat sau nodular al abcesului cerebral (imagistica), Procese de osteogeneza si osteoliza (in boala osoasa), Periostita, Osteomielita, Leziuni nodulare multiple (pulmon, ficat - in boala diseminata), Tablou clinic atipic (in boala diseminata), Absenta durerii (uneori, in boala diseminata), Prezenta ""granulelor de sulf"" in secretii sau puroi"
Adenita (Limfadenita),"Mărirea ganglionilor limfatici (umflături sub piele), Durere și sensibilitate la nivelul ganglionilor limfatici (la atingere
               sau presiune), Roșeață în zona ganglionilor limfatici afectați, Căldură locală în zona ganglionilor limfatici afectați, Febră redusă sau moderată (în caz de infecție), Frisoane (în caz de infecție), Oboseală generalizată (în caz de infecție), Dureri de gât (în caz de infecție asociată), Tuse (în caz de infecție asociată), Nas înfundat (în caz de infecție asociată), Secreții nazale (în caz de infecție asociată), Supurație (formarea de puroi) în cazul infecțiilor bacteriene
               localizate, Umflarea ganglionilor limfatici în mai multe regiuni ale corpului (în
               limfadenita generalizată), Pierdere în greutate neintenționată (în limfadenita generalizată), Febră moderată sau înaltă (în limfadenita generalizată), Transpirații nocturne (în limfadenita generalizată), Slăbiciune generală (în limfadenita generalizată), Erupții cutanate (în cazul unor infecții specifice), Dificultăți la urinare (în cazul unor infecții specifice)"
Adenocarcinomul de colon,"schimbări ale tranzitului intestinal (constipație, diaree, incontinență), prezența sângelui în materiile fecale, evidențiată clinic prin melenă, balonare abdominală, durere în zona pelviană, episoade anemice inexplicabile, scădere în greutate neașteptată, vărsături"
Adenocarcinomul gastric,"senzație de sațietate în lipsa consumului de alimente, vărsături, posibil sub formă de hematemeză, oboseală cauzată de anemie, scădere ponderală bruscă, dificultăți la înghițire, dureri abdominale, indigestie, disfagia, greață, dureri epigastrice (în stadiile incipiente)"
Adenocarcinomul pancreatic,"Scădere în greutate, Icter, Durere, Dispepsie, Grețuri, Vărsături, Pancreatită, Debut brusc al diabetului zaharat tip II la un adult peste 50 ani"
Adenoidita,"Febră (39-40 C în forma acută, persistentă 2-3 săptămâni în forma
               subacută), Dificultate în respirație, Sforăit (respirație zgomotoasă în somn), Respirație frecventă pe gură (respirație orală/bucală), Convulsii febrile (în forma acută), Inapetență (scăderea poftei de mâncare), Diaree (uneori în forma acută), Obstrucție nazală, Secreție nazală muco-purulentă (rinoree), Agitație (în forma acută), Polipnee (în forma acută), Curbă ponderală staționară sau distrofie (în forma subacută), Hipoacuzie (scăderea acuității auditive), Otalgie (durere de ureche), Boltă palatină ogivală (în forma cronică), Rinită persistentă (în forma cronică), Infecții de vecinătate (în forma cronică), Voce nazonată (în forma cronică), Tuse nocturnă chinuitoare (în forma cronică), Scăderea acuității gustative și olfactive (în forma cronică), Facies adenoidian (în forma cronică), Torace aplatizat (în forma cronică), Întârziere în dezvoltarea staturo-ponderală (în forma cronică), Sleep-apnee (în forma cronică), Respirație stertoroasă (în forma cronică)"
Adenom suprarenalian,"Majoritatea sunt asimptomatice (non-funcționale), Hipertensiune arterială (din Sindromul Cushing sau Conn), Slăbiciunea mușchilor proximali (din Sindromul Cushing), Cefalee (din Sindromul Cushing), Poliurie (din Sindromul Cushing), Tahicardie (din Sindromul Cushing sau examen clinic), Palpitații (din Sindromul Cushing), Hipopotasemie (din Sindromul Cushing sau Conn), Hipocalcemie (din Sindromul Cushing), Obezitate centrală (din Sindromul Conn sau examen clinic), Facies de lună plină (din Sindromul Conn), Pletora (din Sindromul Conn), Vergeturi (din Sindromul Conn sau examen clinic), Piele subțire (din Sindromul Conn), Hirsutism (din Sindromul Conn sau examen clinic), Fragilitate capilară (din Sindromul Conn), Teleangiectazii (din Sindromul Conn), Hiperhidroză (din Sindromul Conn), Virilizare masculină (creșterea penisului, pilozitate pubiană), Virilizare feminină (creșterea masei musculare, clitoromegalie,
               pilozitate facială, timbru vocal îngroșat, pilozitate pubiană), Feminizare (ginecomastie, impotență), Hipotensiune ortostatică (din examen clinic), Retinopatie hipertensivă (din examen clinic), Ginecomastie (din Feminizare sau examen clinic)"
Adenomioza,"sangerari menstruale abundente si prelungite (8-14 zile), durere pelvina, ce acompaniaza menstruatia (dismenoree), durere in timpul actului sexual, crampe abdominale, Uterul se dubleaza sau se tripleaza in dimensiuni, Abdomenul inferior devine usor marit, Adenomioza este silentioasa, evoluand asimptomatic sau usor
               inconfortabil (in unele cazuri)"
Adenomul cromofob,"Cefalee (datorată presiunii exercitate asupra diafragmului şeii turceşti
               de către procesul tumoral), Tulburări de somn, Modificări ale apetitului, Febră, Obezitate, Tulburări de vedere, Hemianopsie (îngustarea câmpului vizual), Pierderea totală a vederii prin atrofia nervului optic, Instalarea diabetului insipid, Hipogonadism (regresiunea caracterelor sexuale), Insuficiența suprarenală, Insuficiența tiroidiană"
Adenomul de prostata,"Tulburari de mictiune, Polakiurie nocturna (peste doua mictiuni, in special spre dimineata), Senzatie de corp strain rectal, Erectii si polutii nocturne (inconstant), Polakiurie diurna, Disurie, Scaderea calibrului si fortei jetului urinar, Mictiune intermitenta, Senzatie de golire incompleta a vezicii, Imperiozitate mictionala, Glob vezical (in faza de retentie cu distensie), Pseudoincontinenta urinara (urinare prin prea plin), Paloare (semn de insuficienta renala), Edeme ale membrelor inferioare (semn de insuficienta renala), Greturi (semn de insuficienta renala), Somnolenta (semn de insuficienta renala), Apatie (semn de insuficienta renala)"
Adenomul hepatic,"Durere în hipocondrul drept sau regiunea epigastrică, Masă palpabilă în zona ficatului, Durere severă acută abdominală (în caz de hemoragie), Semne de șoc (hipotensiune, tahicardie, paliditate, confuzie, diaforeză)
               în caz de hemoragie, Sensibilitate la palparea abdomenului, Paloare (conjunctivală) în caz de hemoragie, Semne de hemoperitoneu (semnul valului, Grey-Turner, Cullen)"
Adenomul hipofizar,"Cefalee (bitemporală, frontală sau retro-orbitară), Fluctuații ale temperaturii, Hiperfagie (ingestia excesivă de alimente), Alterări ale ritmului nictemeral, Tulburări emoționale, Hidrocefalie internă, Tulburări comportamentale, Convulsii, Paralizia nervilor cranieni III, IV, VI, Diplopie (vedere dublă), Rinolicvoree (exteriorizarea de lichid cefalorahidian pe nas), Modificări ale câmpului vizual, Ptoză palpebrală (căderea pleoapei), Amenoree (lipsa menstruaţiei) - în prolactinom, Galactoree (secreţie lactată la nivelul sânului) - în prolactinom, Gigantism (înainte de pubertate) / Acromegalie (postpubertar) - în
               adenom secretant de GH, Creștere disproporționată a extremităților (mâini, picioare) - în
               acromegalie, Facies acromegalic (nas mare, buze groase, macroglosie, prognatism,
               bose frontale), Piele îngroșată (cutis verticis girata) - în acromegalie, Hirsutism (pilozitate excesivă la femei) - în acromegalie, Hipersudoraţie neplăcut mirositoare - în acromegalie, Miopatie proximală (slăbiciune musculară) - în acromegalie, Neuropatie compresivă (ex. sindrom de tunel carpian) - în acromegalie, Voce modificată - în acromegalie, Deformări articulare și dureri (genunchi, șold, gleznă, cot, coloană) -
               în acromegalie, Tahicardie / Sindrom hiperkinetic - în acromegalie (stadii incipiente), Hipertensiune arterială - în acromegalie, Cushing, Hipertrofie ventriculară stângă / Insuficiență cardiacă - în
               acromegalie (tardiv), Constipație (megadolicocolon) - în acromegalie, Scăderea toleranţei la glucoză / Diabet - în acromegalie, Cushing, Infertilitate - în prolactinom, adenom secretant de gonadotropi, Impotență (la bărbați) - în prolactinom, adenom secretant de
               gonadotropi, Sindrom Cushing (Obezitate facio-tronculară, piele subțire, vergeturi,
               osteoporoză etc.) - în adenom secretant de ACTH, Acnee, seboree, alopecie difuză, hirsutism - în sindrom Cushing, Scădere ponderală - în adenom secretant de TSH, Creşterea apetitului - în adenom secretant de TSH, Tulburări de ritm (fibrilaţie atrială, tahicardie) - în adenom
               secretant de TSH, Intoleranţă la căldură - în adenom secretant de TSH, Hipersudoraţie - în adenom secretant de TSH, Tremor - în adenom secretant de TSH, Poliexoneraţie (scaune frecvente) - în adenom secretant de TSH, Oboseală și slăbiciune musculară - în adenom secretant de TSH, deficit
               ACTH, Oligomenoree (flux menstrual scăzut) - în adenom secretant de TSH, Irascibilitate, nervozitate - în adenom secretant de TSH, Tulburări de vedere (fotofobie, conjunctivită, diplopie, exoftalmie) -
               în adenom secretant de TSH, Hipoglicemie - în deficit de GH, Pierderea forţei musculare - în deficit de GH, Tulburări de creştere la copii - în deficit de GH, Hipotiroidism (simptome nespecificate) - în deficit de TSH, Depigmentare cutanată - în deficit de ACTH, Insuficienţă suprarenală (astenie, pierdere în greutate, hipotensiune)
               - în deficit de ACTH"
Adenopatia (Limfadenopatia),"Cresterea in dimensiuni a nodulilor limfatici, Eritem local (sugerează limfadenită), Caldură locală (sugerează limfadenită), Sensibilitate locală (sugerează limfadenită), Fluctuență (sugerează limfadenită), Noduli comprimați împreună, fermi și nedureroși (sugerează neoplazie), Febră (în infecții, neoplazii, limfadenopatia angioimunoblastică), Scădere în greutate (în neoplazii, limfadenopatia angioimunoblastică), Transpirații nocturne (în neoplazii, limfadenopatia angioimunoblastică), Erupții nespecifice similare celor virale (în limfadenopatia
               angioimunoblastică), Poliartrită seropozitivă (în limfadenopatia angioimunoblastică), Prurit (în limfadenopatia angioimunoblastică), Hepatosplenomegalie (în limfadenopatia angioimunoblastică), Anemie hemolitică (în limfadenopatia angioimunoblastică), Hipergammaglobulinemie policlonală (în limfadenopatia
               angioimunoblastică), Afectare cutanată (în limfadenopatia angioimunoblastică), Anorexie (în neoplazii), Durere nespecifică (în neoplazii), Crampe nespecifice (în neoplazii), Tuse (în adenopatia mediastinală), Wheezing (în adenopatia mediastinală), Disfagie (în adenopatia mediastinală), Hemoptizie (prin eroziunea căilor respiratorii în adenopatia
               mediastinală), Atelectazii (în adenopatia mediastinală), Sindrom de venă cavă superioară (în adenopatia mediastinală), Conjunctivită severă (în sindromul oculo-glandular), Edem al pleoapelor (în sindromul oculo-glandular), Durere abdominală dreaptă (în adenita mezenterică), Creșterea diurezei (în adenopatia abdominală), Constipație (în adenopatia abdominală), Obstrucție intestinală (în adenopatia abdominală)"
Adenopatia inghinală,"Creșterea în dimensiuni a ganglionilor limfatici din zona inghinală
               (umflături)"
Adenopatie axilară (ganglioni palpabili în axilă),"Creșterea în dimensiuni a ganglionilor limfatici localizați în regiunea
               axilară (ganglioni palpabili), Ganglioni măriți de volum, Consistență variabilă a ganglionilor (fermă, inegală, moale), Ganglioni nedureroși sau dureroși (variabil), Ganglioni mobili sau aderenți la planurile adiacente, Edem localizat la nivelul țesuturilor învecinate, Febră (asociată cu cauza de bază), Alterarea stării generale (asociată cu cauza de bază), Slăbiciune musculară (asociată cu cauza de bază), Transpirații nocturne intense (asociate cu cauza de bază), Scădere ponderală (asociată cu cauza de bază), Congestie nazală (asociată cu cauza de bază), Durere locală (în axilă sau generalizată, asociată cu cauza de bază), Splenomegalie (asociată cu cauza de bază), Hepatomegalie (asociată cu cauza de bază), Prurit (asociat cu cauza de bază, ex. limfom), Erupții cutanate (asociate cu cauza de bază), Oboseală (asociată cu cauza de bază), Durere în gât (asociată cu cauza de bază, ex. mononucleoză), Cefalee (asociată cu cauza de bază), Inapetență (asociată cu cauza de bază)"
Adenopatii cervicale,"Modificarea de volum a ganglionilor limfatici, Modificarea de consistență a ganglionilor limfatici, Modificarea de formă a ganglionilor limfatici, Modificarea de număr a ganglionilor limfatici, Ganglioni limfatici palpabili, Ganglioni limfatici măriți de volum (peste 1 cm la adulți, peste 2 cm la
               copii), Sensibilitate sau durere la palpare (cauzată de mărirea rapidă de volum,
               inflamație, supurație, hemoragie), Consistență foarte tare (sugestivă pentru malignitate metastatică), Consistență fermă, elastică (sugestivă pentru limfom), Consistență moale (sugestivă pentru infecție), Consistență fluctuantă (sugestivă pentru supurație), Fixarea nodulilor la tegument sau la țesuturile învecinate (sugestivă
               pentru metastaze sau supurație), Febră (asociată cu diverse cauze: mononucleoză, infecții, boala
               Kikuchi), Stare generală alterată (în mononucleoza infecțioasă), Tuse (în infecții respiratorii), Rinoree (în infecții respiratorii), Congestie sinusală (în infecții respiratorii), Zona din jurul nodulilor limfatici caldă, moale, eritematoasă (în boala
               zgârieturii de pisică), Zona din jurul nodulilor limfatici indurată și supurativă (în boala
               zgârieturii de pisică), Fistulizare cu eliminare de cazeum la nivel tegumentar (în tuberculoză), Eczemă maculo-papulară (în toxoplasmoză), Mialgie (în toxoplasmoză), Cefalee (în toxoplasmoză), Transpirații profuze (în boala Kikuchi), Adenopatie care persistă mai mult de 2-4 săptămâni, Adenopatie acută (durată sub 2 săptămâni), Adenopatie cronică (durată peste 6 săptămâni)"
Adenoza vaginală,"Durere vaginală intermitentă, Durere în timpul actului sexual (dispareunie), Sângerări vaginale (anormale), Ușoară dismenoree, Prurit vaginal, Secreții vaginale, Leziuni roșii, granulare, nodulare sau ulcere la examenul ginecologic, Asimptomatic (frecvent)"
Adeziuni labiale,"De obicei asimptomatică, Durere în zona genitală, Dificultate la urinare, Infecții frecvente ale tractului urinar, Blocarea fluxului urinar, Reflux vaginal al urinei, Durere la adoptarea anumitor poziții de contact strâns cu zona anatomică
               implicată, Durere la urinare"
ADHD - Deficit de atentie - Tulburare hiperkinetica,"Probleme de concentrare, Nu reuseste sa isi finalizeze sarcinile, Se plictiseste dupa cateva minute, Trece de la o activitate la alta, Nu poate sa urmeze instructiuni sau sa isi faca temele, Teme uitate acasa sau pline de greseli, Repede distras de sunete si imagini nesemnificative, Dezorganizat in tot ceea ce intreprinde, Evita activitatile mentale care necesita efort mental sustinut, Pierde adesea materialele auxiliare pentru teme sau jocuri (pixuri,
               carti, caiete, jucarii), Uituc, Dificultate in a se concentra asupra detaliilor, Comite greseli din neatentie, Alearga, se catara peste tot, pune mana pe toate lucrurile si se joaca
               cu orice, Vorbeste intr-una, Isi roade unghiile si capetele creioanelor, Deosebit de galagios cand se joaca, Se adapteaza cu dificultate unui stil de joaca linistit, Nu poate sta locului (ex: la masa, la lectii, la scoala), Da din maini sau din picioare, se foieste pe scaun, Bate cu degetele sau cu creionul in masa, Neliniste interioara (in cazul adolescentilor si adultilor), Nevoia de a face permanent ceva (in cazul adolescentilor si adultilor), Incapabil sa-si moduleze reactiile imediate, Incapabil sa gandeasca inainte de a actiona, Se grabeste sa raspunda la intrebari inainte ca acestea sa fie
               formulate pana la sfarsit, Isi manifesta necenzurat emotiile, Actioneaza fara a avea in vedere consecintele conduitei sale, Nu poate sa stea incolonat sau sa isi astepte randul intr-o situatie
               sau joc de grup, Smulge adesea jucariile celorlalti copii, Poate fi violent, Ii intrerupe adesea pe ceilalti, intervine in conversatii sau jocuri, Vorbeste excesiv de mult, indiferent de cadrul social, Comportament agresiv (aproximativ 60% din copii), Isi pierde repede cumpatul, Se cearta, Refuza sa faca ceea ce i se cere, Tulburari de conduita: copilul distruge lucruri, minte, fura, incalca
               reguli, Dificultati specifice de invatare (cum ar fi dislexia), Simptome depresive, Senzatie de anxietate, Iritabilitate, Dipozitie sufleteasca oscilanta, Izbucniri de manie, Sensibilitate la critica, Hiperactivitate, Impulsivitate"
ADHD la adulți,"Dificultatea de a menține atenția, Comportament impulsiv, Hiperactivitate, Neliniște extremă (la adulți), Activitate intensă care îi epuizează pe ceilalți (la adulți), Se foiește, mișcă repetat picioarele, nu are astâmpăr, Dificultăți de a rămâne așezat, Stare de neliniște în absenţa mișcării, Dificultăți de a desfășura sau lua parte la activități în liniște, Persoana este adesea în mișcare, de parcă are avea un „motor”, Vorbit excesiv, Întreruperea partenerului de conversație, Răspuns la întrebări înainte ca acestea să fie puse până la capăt, Nerăbdare, Dificultate în a aștepta la rând, Dificultăți de a acorda atenție detaliilor, Greșeli făcute din lipsă de atenție, Dificultăți de a menține atenția asupra unei sarcini sau activități, Dificultăți de a asculta atunci când i se vorbește direct, Evitarea sau refuzul activităților care presupun un efort mental de
               durată, Dificultăți în urmărirea unor instrucțiuni sau finalizarea unor sarcini
               sau activități, Dificultăți de organizare și prioritizare a unor sarcini sau activități, Pierderea frecventă a unor obiecte (ochelari, telefon, chei, documente), Distragere cu ușurință de la activități, Uitarea frecventă a unor informații sau obiecte, Dificultăți cu rutina zilnică (trezitul, pregătitul pentru serviciu,
               punctualitatea), Ratarea termenelor limită, Anularea planurilor, Dificultate în a ţine cont de data unor programări, Dificultate în a păstra un loc de muncă pentru o perioadă îndelungată, Încercarea de a efectua mai multe activități în același timp, fără
               succes"
Adiposis dolorosa - neurolipomatoza,"Lipoame multiple dureroase, Obezitate generalizată, mai ales în perioada de menopauză, Astenie, slăbiciune și fatigabilitate, Modificări mentale cu instabilitate emoțională, Depresie, Epilepsie, Confuzie, Demență, Tulburări de somn, Uscăciunea ochilor și a gurii, Intestin iritabil, Coccidodinie, Vulvovaginită, Vulvodinie, Sindrom de tunel carpian, Sindrom Tietze, Trohanterite, Tendonită, Fibromialgii, Durere și disconfort în regiunea lipoamelor, Durerea se intensifică odată cu creșterea lipoamelor, Durerea se intensifică în conexiune cu menstrele, Tipul I (juxta-auricular): falduri sau grăsime dureroasă în interiorul
               genunchilor și a coapselor, Tipul II (difuz, generalizat): durerea se extinde în brațul superior,
               tălpi, Tipul III (lipomatoza, nodular): durere intensă în și în jurul
               lipoamelor multiple, Durerea variază de la disconfort, presiune ușoară, arsuri, înțepături,
               până la atacuri paroxistice, Durerea este simetrică, dar poate deveni localizată la genunchi și
               membrele inferioare, Durerea poate fi resimțită în oase sau grăsime, Hiperalgie la presiune ușoară și atingerea țesutului gras, Durerea este dependentă de temperatură și vreme (scade când este cald
               și uscat și când presiunea este ridicată), Tendință de umflare a degetelor, Parestezii prin compresia nervului median, Oboseală generală (agravată de activitatea fizică moderată sau
               tulburările de somn), Tendință la echimoze, Redoare matinală și după repaus, Cefalee, Durere de gât, Migrenă, Durere oculară, Disfuncție cognitivă (probleme de concentrare și memorie), Senzație de căldură"
Adrenoleucodistrofia,"Pierderea abilităților neurologice câștigate anterior (între 4 și 10 ani
               în forma clasică), Convulsii, Ataxie, Boala Addison (insuficiență adrenală), Degenerarea funcției auditive, Degenerarea funcției vizuale, Slabiciune a membrelor (în forma de adrenomielopatie), Parestezii ale membrelor (în forma de adrenomielopatie)"
Aerofagia,"înghițirea excesivă de aer, umflarea stomacului, eructații frecvente, epigastralgii (dureri în capul pieptului), senzația de ""prea plin"", meteorism abdominal (balonare), reflux gastro-esofagian, flatulență excesivă (în unele forme)"
Aerosinuzita (barosinuzita),"inflamatie dureroasa a membranei cavitatilor sinuzale paranazale si a
               sinusului frontal, inflamatie hemoragica a membranei cavitatilor sinuzale paranazale si a
               sinusului frontal (uneori), dureri faciale puternice, cefalee (durere de cap) care crește în intensitate în timpul coborârii
               (apropierii de sol), durere dizabilitantă (dacă presiunea nu este reversată), durere localizată frontal (predominant), durere temporală (mai rar), durere occipitală (mai rar), durere în regiunea retrobulbară (mai rar), epistaxis (sângerare nazală), secreții serosanguinolente din nas, simptome neurologice (afectarea nervului V cranian, în special nervul
               infraorbital)"
Afazia la copii,"dificultăți în găsirea cuvintelor, amestecare literelor într-un cuvânt, înlocuirea cuvintelor (ex: computerul devine TV), dificultăți în a urma instrucțiuni, atât auzite cât și citite, dificultăți în înțelegerea sensului cuvintelor, discurs ezitant, ritm lent de vorbire, vorbire simplă, greoaie, limitată la propoziții scurte, dificultăți cu gramatica, dificultăți cu ortografia, dificultăți de citire, dificultăți de scriere, probleme de comunicare, lipsa conștientizării problemei de comunicare"
